Epoch	block0_Baseline	block0_LCM	block1_Baseline	block1_LCM	block2_Baseline	block2_LCM	block3_Baseline	block3_LCM	block4_Baseline	block4_LCM	block5_Baseline	block5_LCM	block6_Baseline	block6_LCM	block7_Baseline	block7_LCM	block8_Baseline	block8_LCM	block9_Baseline	block9_LCM	block10_Baseline	block10_LCM	block11_Baseline	block11_LCM
100	1634.51	1328.55	1532.74	1299.84	1416.32	1229.07	1204.74	1097.64	974.38	928.80	729.76	732.71	463.74	484.19	255.29	294.85	160.01	229.23	135.40	245.36	129.05	311.79	189.91	368.23
101	1635.37	1331.72	1533.77	1305.52	1416.89	1230.30	1205.11	1098.57	974.82	931.58	730.14	735.31	464.00	485.32	255.33	295.17	160.01	231.32	135.33	249.81	128.98	309.31	189.98	370.60
102	1635.94	1338.35	1534.20	1309.77	1417.23	1232.43	1205.18	1099.80	974.67	930.97	729.72	734.89	463.43	485.89	254.75	295.10	159.54	230.32	135.15	248.95	128.95	307.93	190.08	371.12
103	1635.50	1340.10	1533.78	1311.67	1417.03	1235.83	1205.29	1102.26	974.71	930.62	729.86	735.12	463.81	485.99	255.09	294.83	159.84	231.33	135.33	250.39	129.08	313.79	190.03	372.21
104	1635.58	1327.23	1533.76	1313.54	1417.25	1238.13	1205.54	1103.66	974.96	930.98	730.34	736.75	464.37	486.90	255.82	296.58	160.40	231.80	135.87	250.74	129.73	310.40	190.70	374.36
105	1634.67	1327.77	1532.94	1309.47	1416.54	1238.92	1204.86	1103.41	974.43	926.56	729.85	736.51	463.83	486.53	255.05	295.49	159.31	231.48	134.62	249.49	128.20	305.75	189.29	373.56
106	1634.84	1328.13	1532.90	1311.71	1416.05	1238.63	1204.34	1105.42	973.76	929.98	729.37	735.92	463.55	487.18	255.03	297.08	160.06	232.17	135.57	251.70	129.45	311.95	190.43	374.86
107	1634.22	1331.97	1533.05	1317.74	1416.66	1241.98	1204.96	1105.99	974.71	933.77	729.98	731.89	463.80	488.97	255.37	296.58	160.02	231.88	135.31	249.92	128.87	310.31	189.91	375.98
108	1634.01	1341.59	1532.89	1321.73	1416.41	1242.20	1204.62	1106.99	974.34	934.50	729.82	728.44	463.97	488.81	255.13	296.31	159.96	232.65	135.29	251.37	128.92	313.85	189.89	377.43
109	1634.83	1345.70	1533.03	1323.07	1416.59	1244.97	1204.79	1106.95	974.63	936.50	730.07	734.75	464.00	489.10	255.35	297.59	160.15	232.18	135.15	250.36	128.77	311.73	190.11	376.51
